country,continents,governments,languages,currencies,border_count
http://www.wikidata.org/entity/Q258,Africa,apartheid | representative democracy | parliamentary republic,English | Zulu | Xhosa | Afrikaans | Venda | Northern Sotho | Swazi | Tswana | Tsonga | Sesotho | Southern Ndebele | South African Sign Language,rand,6
http://www.wikidata.org/entity/Q668,Asia,republic | federal republic | constitutional republic | democratic republic,English | Hindi,Indian rupee,9
http://www.wikidata.org/entity/Q262,Africa,semi-presidential system | people's republic,Arabic | Standard Algerian Berber,Algerian dinar,9
http://www.wikidata.org/entity/Q265,Asia,presidential system,Uzbek,Uzbek som,5
http://www.wikidata.org/entity/Q298,South America,democratic republic,Spanish,Chilean peso,3
http://www.wikidata.org/entity/Q334,Asia,parliamentary republic,English | Tamil | Malay | Standard Chinese,Singapore dollar,2
http://www.wikidata.org/entity/Q347,Europe,constitutional monarchy,German,Swiss franc,3
http://www.wikidata.org/entity/Q398,Asia,constitutional monarchy,Arabic,Bahraini dinar,2
http://www.wikidata.org/entity/Q399,Asia,republic | parliamentary system | unitary state,Armenian,Armenian dram,4
http://www.wikidata.org/entity/Q403,Europe,,Serbian,Serbian dinar,10
http://www.wikidata.org/entity/Q408,Oceania,constitutional monarchy | federation | representative democracy,Auslan | Australian English,Australian dollar,7
http://www.wikidata.org/entity/Q414,South America,federal republic,Spanish,Argentine convertible peso,6
http://www.wikidata.org/entity/Q419,South America,presidential system,Spanish | Aymara | Quechua,Nuevo sol,6
http://www.wikidata.org/entity/Q423,Asia,republic | one-party state | unitary state | Juche | socialist state | family dictatorship | communist dictatorship,Korean | North Korean standard language,North Korean won,3
http://www.wikidata.org/entity/Q424,Asia,constitutional monarchy,Khmer,riel,4
http://www.wikidata.org/entity/Q574,Asia,republic | semi-presidential system | unitary state,Portuguese | Tetum,United States dollar | East Timor centavo coins,2
http://www.wikidata.org/entity/Q657,Africa,,French | Arabic,Central African CFA franc,7
http://www.wikidata.org/entity/Q664,Oceania,parliamentary monarchy,English | New Zealand Sign Language | Māori,New Zealand dollar,1
