country,memberships
http://www.wikidata.org/entity/Q258,"United Nations | African Union | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | BRICS | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | Southern African Development Community | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Southern African Customs Union | Nuclear Suppliers Group | Group on Earth Observations | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q262,United Nations | African Union | League of Arab States | Organization of the Petroleum Exporting Countries | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | Arab Maghreb Union | International Telecommunication Union | World Customs Organization | Arab Monetary Fund | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Arab Fund for Economic and Social Development | Lake Chad Basin Commission | Arab Bank for Economic Development in Africa | Group on Earth Observations | African Continental Free Trade Area
http://www.wikidata.org/entity/Q265,United Nations | Commonwealth of Independent States | UNESCO | World Health Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | Organization for Security and Co-operation in Europe | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Collective Security Treaty Organization | GUAM Organization for Democracy and Economic Development | International Telecommunication Union | Shanghai Cooperation Organisation | Organization of Turkic States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Commonwealth of Independent States Free Trade Area | Central Asian Cooperation Organization | Group on Earth Observations
http://www.wikidata.org/entity/Q298,United Nations | Union of South American Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Latin America | Universal Postal Union | Organization for Economic Cooperation and Development | Visa Waiver Program | Organization of American States | International Civil Defence Organisation | World Meteorological Organization | Asia-Pacific Economic Cooperation | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | ABC nations | International Telecommunication Union | Andean Community | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean | Group on Earth Observations | Carbon Neutrality Coalition
http://www.wikidata.org/entity/Q334,United Nations | Association of Southeast Asian Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Visa Waiver Program | World Meteorological Organization | Asia-Pacific Economic Cooperation | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | Organization of World Heritage Cities | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Creative Cities Network | ASEAN Regional Forum
http://www.wikidata.org/entity/Q347,United Nations | World Trade Organization | Interpol | Council of Europe | European Economic Area | Universal Postal Union | International Atomic Energy Agency | Visa Waiver Program | International Criminal Court | Organization for Security and Co-operation in Europe | European Free Trade Association | UN Trade and Development | Treaty on the Non-Proliferation of Nuclear Weapons | International Telecommunication Union | European Bank for Reconstruction and Development | United Nations Economic Commission for Europe | Intelsat | Organisation for the Prohibition of Chemical Weapons | Permanent Court of Arbitration | University of Teacher Education in Special Needs | International Lake Constance conference | Schengen Area
http://www.wikidata.org/entity/Q398,United Nations | League of Arab States | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Cooperation Council for the Arab States of the Persian Gulf | International Hydrographic Organization | International Telecommunication Union | World Customs Organization | Arab Monetary Fund | International Finance Corporation | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Arab Fund for Economic and Social Development | Arab Bank for Economic Development in Africa | Group on Earth Observations
http://www.wikidata.org/entity/Q399,United Nations
http://www.wikidata.org/entity/Q403,United Nations | UNESCO | World Health Organization | Interpol | Council of Europe | Universal Postal Union | Organization for Security and Co-operation in Europe | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | Central European Free Trade Agreement | International Telecommunication Union | Organization of the Black Sea Economic Cooperation | International Centre for Migration Policy Development | World Customs Organization | Partnership for Peace | International Finance Corporation | Eurocontrol | International Holocaust Remembrance Alliance | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Nuclear Suppliers Group | Group on Earth Observations | Q131720477
http://www.wikidata.org/entity/Q408,United Nations | Association of Southeast Asian Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | Organization for Economic Cooperation and Development | Visa Waiver Program | Food and Agriculture Organization | World Meteorological Organization | Asia-Pacific Economic Cooperation | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Southeast Asia Treaty Organization | ANZUS | Bank for International Settlements | International Telecommunication Union | European Bank for Reconstruction and Development | East Asia Summit | World Customs Organization | International Finance Corporation | Pacific Islands Forum | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | Pacific Community | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Colombo Plan | Nuclear Suppliers Group | ANZUK | ABCANZ Armies | AUSCANNZUKUS | Air Force Interoperability Council | Combined Communications-Electronics Board | Group on Earth Observations | The Technical Cooperation Program | ASEAN Regional Forum | Five Eyes | AUKUS
