country,countryLabel,iso2,iso3,area,population,life_expectancy,hdi,gdp_nominal,gdp_nominal_year,inception,driving_side_label,continents,governments,languages,currencies,border_count,memberships
http://www.wikidata.org/entity/Q889,Afghanistan,AF,AFG,652230,41454761,63.673,0.478,17233051620,2023-01-01 00:00:00+00:00,1996-01-01T00:00:00Z,right,Asia,unitary state | Emirate | islamic theocracy,Uzbek | Turkmen | Arabic | Balochi | Pashayi | Pashto | Nuristani | Dari | Pamir,afghani,6,United Nations
http://www.wikidata.org/entity/Q222,Albania,AL,ALB,28748,2811655,78.345,0.796,23547179830,2023-01-01 00:00:00+00:00,1912-11-28T00:00:00Z,right,Europe,parliamentary system,Albanian,Albanian lek,6,United Nations
http://www.wikidata.org/entity/Q262,Algeria,DZ,DZA,2381741,46164219,77.13,0.745,191912889421,2022-01-01 00:00:00+00:00,1962-07-03T00:00:00Z,right,Africa,semi-presidential system | people's republic,Arabic | Standard Algerian Berber,Algerian dinar,9,United Nations | African Union | League of Arab States | Organization of the Petroleum Exporting Countries | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | Arab Maghreb Union | International Telecommunication Union | World Customs Organization | Arab Monetary Fund | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Arab Fund for Economic and Social Development | Lake Chad Basin Commission | Arab Bank for Economic Development in Africa | Group on Earth Observations | African Continental Free Trade Area
http://www.wikidata.org/entity/Q228,Andorra,AD,AND,468,87486,,0.884,3352032737,2022-01-01 00:00:00+00:00,1993-01-01T00:00:00Z,right,Europe,parliamentary coprincipality,Catalan,euro,3,United Nations
http://www.wikidata.org/entity/Q916,Angola,AO,AGO,1246700,36749906,61.547,0.586,84824654481,2023-01-01 00:00:00+00:00,1992-08-25T00:00:00Z,right,Africa,republic | presidential system,Portuguese,kwanza,5,"United Nations | African Union | Organization of the Petroleum Exporting Countries | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Community of Portuguese Language Countries | Treaty on the Non-Proliferation of Nuclear Weapons | Economic Community of Central African States | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | International Renewable Energy Agency | World Customs Organization | International Finance Corporation | Southern African Development Community | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Gulf of Guinea Commission | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,AG,ATG,440.29,101489,79,0.851,1757603704,2022-01-01 00:00:00+00:00,1981-11-01T00:00:00Z,left,North America,constitutional monarchy,English,Eastern Caribbean dollar,2,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organization of American States | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Caribbean Community | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean | Caribbean Development Bank | Caribbean Disaster Emergency Management Agency | Caribbean Free Trade Association"
http://www.wikidata.org/entity/Q414,Argentina,AR,ARG,2780400,47327407,76,0.842,646075277525,2023-01-01 00:00:00+00:00,1816-07-09T00:00:00Z,right,South America,federal republic,Spanish,Argentine convertible peso,6,United Nations | Union of South American Nations | Q4264 | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | Organization of American States | World Meteorological Organization | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Central American Bank for Economic Integration | International Bank for Reconstruction and Development | International Hydrographic Organization | ABC nations | African Development Bank | International Telecommunication Union | International Renewable Energy Agency | Andean Community | World Customs Organization | International Finance Corporation | Australia Group | International Holocaust Remembrance Alliance | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean | Group on Earth Observations
http://www.wikidata.org/entity/Q399,Armenia,AM,ARM,29743.423459,2930450,74.618,0.759,24085749592,2023-01-01 00:00:00+00:00,1991-09-23T00:00:00Z,right,Asia,republic | parliamentary system | unitary state,Armenian,Armenian dram,4,United Nations
http://www.wikidata.org/entity/Q408,Australia,AU,AUS,7692024,27614411,83.1,0.951,1757022451653,2024-01-01 00:00:00+00:00,1901-01-01T00:00:00Z,left,Oceania,constitutional monarchy | federation | representative democracy,Auslan | Australian English,Australian dollar,7,United Nations | Association of Southeast Asian Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | Organization for Economic Cooperation and Development | Visa Waiver Program | Food and Agriculture Organization | World Meteorological Organization | Asia-Pacific Economic Cooperation | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Southeast Asia Treaty Organization | ANZUS | Bank for International Settlements | International Telecommunication Union | European Bank for Reconstruction and Development | East Asia Summit | World Customs Organization | International Finance Corporation | Pacific Islands Forum | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | Pacific Community | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Colombo Plan | Nuclear Suppliers Group | ANZUK | ABCANZ Armies | AUSCANNZUKUS | Air Force Interoperability Council | Combined Communications-Electronics Board | Group on Earth Observations | The Technical Cooperation Program | ASEAN Regional Forum | Five Eyes | AUKUS
http://www.wikidata.org/entity/Q40,Austria,AT,AUT,83878.99,8979894,81,0.916,511685203845,2023-01-01 00:00:00+00:00,1918-11-12T00:00:00Z,right,Europe,republic | semi-presidential system | federal parliamentary republic,German | Austrian Sign Language,euro,8,European Union | United Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | Organization for Economic Cooperation and Development | Visa Waiver Program | Organization for Security and Co-operation in Europe | European Southern Observatory | European Free Trade Association | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | African Development Bank | International Telecommunication Union | International Centre for Migration Policy Development | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | International Military Sports Council | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | European Payments Union | Nuclear Suppliers Group | Schengen Area | Movement Coordination Centre Europe | Group on Earth Observations | International Energy Forum | Q131720477
http://www.wikidata.org/entity/Q227,Azerbaijan,AZ,AZE,86600,10180770,72.026,0.745,72356176470,2023-01-01 00:00:00+00:00,1991-01-01T00:00:00Z,right,Asia,republic | semi-presidential system | unitary state,Azerbaijani | Azerbaijani Sign Language,Azerbaijani manat,5,United Nations
http://www.wikidata.org/entity/Q398,Bahrain,BH,BHR,786.5,1569666,76.9,0.875,44390820479,2022-01-01 00:00:00+00:00,1971-08-14T00:00:00Z,right,Asia,constitutional monarchy,Arabic,Bahraini dinar,2,United Nations | League of Arab States | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Cooperation Council for the Arab States of the Persian Gulf | International Hydrographic Organization | International Telecommunication Union | World Customs Organization | Arab Monetary Fund | International Finance Corporation | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Arab Fund for Economic and Social Development | Arab Bank for Economic Development in Africa | Group on Earth Observations
http://www.wikidata.org/entity/Q902,Bangladesh,BD,BGD,147570,171466990,74,0.661,437415331040,2023-01-01 00:00:00+00:00,1971-03-26T00:00:00Z,left,Asia,Westminster system | parliamentary republic,Bangla,Bangladeshi taka,2,United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | South Asian Association for Regional Cooperation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Group on Earth Observations | ASEAN Regional Forum
